"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"ATP6AP1",1850.92252325523,0.592133724821644,0.0691433601667455,8.56385520451508,1.09154905051714e-17,1.06088728683211e-15,"Tidak Signfikan","Tidak Signifikan"
"PSKH1",820.479083017064,-0.910199518228355,0.106312289566315,-8.56156444322079,1.11346151177677e-17,1.07429009600275e-15,"Tidak Signfikan","Tidak Signifikan"
"ZNF37A",616.982166058943,-0.919922129119095,0.107469686400341,-8.5598289148462,1.13035135402365e-17,1.08279585777223e-15,"Tidak Signfikan","Tidak Signifikan"
"AKAP17A",2509.574396639,0.557887067200678,0.0652432991199181,8.55087150291516,1.22162565872818e-17,1.16193061767402e-15,"Tidak Signfikan","Tidak Signifikan"
"ABCB10",5964.10940266009,-0.448565609983505,0.052526032018559,-8.53987237842396,1.34370157741312e-17,1.26904097568221e-15,"Tidak Signfikan","Tidak Signifikan"
"MBD3",1915.61467046784,-0.610459715134234,0.0716950423850485,-8.51467123564378,1.67063589545424e-17,1.56677608349209e-15,"Tidak Signfikan","Tidak Signifikan"
"RTN4",7640.33527656742,0.420074574867883,0.0494249805046288,8.4992360255669,1.90842515491361e-17,1.77735345503795e-15,"Tidak Signfikan","Tidak Signifikan"
"HIF1A",3327.79009167452,0.502542340951554,0.0591715021113362,8.49297927245413,2.01406230628652e-17,1.86279928204196e-15,"Tidak Signfikan","Tidak Signifikan"
"FBXO9",978.354436747093,-0.787242709529979,0.0929894682084095,-8.46593409659681,2.54107828454928e-17,2.33413704617057e-15,"Tidak Signfikan","Tidak Signifikan"
"RALGDS",1566.10356763239,-0.656571356244633,0.0779982067601412,-8.41777501710661,3.83701748757515e-17,3.50056064801839e-15,"Tidak Signfikan","Tidak Signifikan"
"FAM111B",1614.00126295106,-0.624952203882119,0.0744912516243603,-8.38960535974865,4.87776767685031e-17,4.41998258879996e-15,"Tidak Signfikan","Tidak Signifikan"
"PRPF38B",2849.436006827,0.508195202873875,0.0607818885824477,8.36096433865382,6.22076501107206e-17,5.59910601097231e-15,"Tidak Signfikan","Tidak Signifikan"
"LRRFIP1",5581.73848857779,0.437605663719377,0.0525301970699384,8.33055438830261,8.04646578600148e-17,7.19407684373772e-15,"Tidak Signfikan","Tidak Signifikan"
"MYB",6237.03602477279,0.44434044158624,0.0533840113865956,8.32347420219925,8.54218745648143e-17,7.58670701846837e-15,"Tidak Signfikan","Tidak Signifikan"
"MRFAP1",5992.42402522865,0.426672365669972,0.0513019337761984,8.3168866018054,9.03040777779668e-17,7.96755254658101e-15,"Tidak Signfikan","Tidak Signifikan"
"ITGA5",1295.79728165198,-0.655942837673254,0.0789038367994345,-8.31319317640527,9.31606829400774e-17,8.16586875104169e-15,"Tidak Signfikan","Tidak Signifikan"
"WDR47",1047.1208009763,0.760336528139037,0.091570926218068,8.30325256652273,1.01299215159061e-16,8.82158295128677e-15,"Tidak Signfikan","Tidak Signifikan"
"CHD1",4516.67705596927,0.494510023392872,0.0598590787746284,8.2612367833912,1.44170771550675e-16,1.24740272081684e-14,"Tidak Signfikan","Tidak Signifikan"
